
[FUNCTION_SIZE] Function 'generateAchievements' too large: 51 lines (max: 50) (AirFit/Services/Analytics/AnalyticsService.swift:246)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Core/Constants/AppConstants.swift:6)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/AirFitTests/AI/NutritionParserTests.swift:21)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Modules/Chat/ViewModels/ChatViewModel.swift:107)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Modules/Dashboard/Views/RecoveryDetailView.swift:631)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Modules/Dashboard/Services/DashboardNutritionService.swift:8)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Modules/Dashboard/Services/DashboardNutritionService.swift:13)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Modules/FoodTracking/Views/NutritionSearchView.swift:508)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:456)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:476)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Modules/Notifications/Services/EngagementEngine.swift:252)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Services/Health/HealthKitManager.swift:346)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Services/Health/HealthKitManager.swift:610)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Services/Health/HealthKitManager.swift:643)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Services/Health/HealthKitManager.swift:658)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Services/AI/LLMProviders/OpenAIProvider.swift:223)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Services/AI/LLMProviders/OpenAIProvider.swift:313)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Services/AI/LLMProviders/OpenAIProvider.swift:342)
[TODO_FIXME] Found TODO/FIXME comment (AirFit/Services/AI/LLMProviders/GeminiProvider.swift:239)
[DEBUG_PRINT] Found debug print statement (AirFit/Core/Utilities/AppLogger.swift:125)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Settings/Views/SettingsListView.swift:976)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Settings/Views/SettingsListView.swift:1322)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Settings/Views/SettingsListView.swift:1622)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Settings/Services/NotificationManager+Settings.swift:86)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Settings/Services/NotificationManager+Settings.swift:97)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Chat/Views/ChatView.swift:165)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Chat/Views/ChatView.swift:179)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Chat/Views/ChatView.swift:435)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Workouts/Views/WorkoutDashboardView.swift:647)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Workouts/Views/WorkoutDashboardView.swift:653)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Body/Views/BodyDashboardView.swift:429)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Body/Views/BodyDashboardView.swift:432)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Body/Views/BodyDashboardView.swift:940)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/ViewModels/DashboardViewModel.swift:13)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/DashboardView.swift:266)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/Cards/MorningGreetingCard.swift:368)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/Cards/MorningGreetingCard.swift:373)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/Cards/NutritionCard.swift:48)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/MorningCheckInView.swift:40)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/NutritionDashboardView.swift:546)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/NutritionDashboardView.swift:548)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/NutritionDashboardView.swift:560)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/TodayDashboardView.swift:490)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/TodayDashboardView.swift:506)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/TodayDashboardView.swift:522)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/TodayDashboardView.swift:531)
[FILE_SIZE] File too large: 2259 lines (max: 1000) (AirFit/Modules/Settings/Views/SettingsListView.swift)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/NutritionDetailView.swift:236)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Dashboard/Views/NutritionDetailView.swift:250)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Core/WorkoutStrategy.swift:61)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Core/WorkoutStrategy.swift:62)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Core/WorkoutStrategy.swift:143)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Core/WorkoutStrategy.swift:181)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Core/CoachOrchestrator.swift:253)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/AI/Core/CoachOrchestrator.swift:572)
